model_id,accuracy,mean_per_class_error,logloss,rmse,mse
XGBoost_1_AutoML_1_20240927_44205,0.865546218487395,0.1345742404792469,0.5875033980362744,0.444138905956456,0.1972593677841976
XGBoost_grid_1_AutoML_1_20240927_44205_model_3,0.9159663865546218,0.0838682071031236,0.2831130787655073,0.2689559698801396,0.0723373137341665
XGBoost_grid_1_AutoML_1_20240927_44205_model_1,0.9159663865546218,0.084510055626872,0.3028607536156326,0.2858168401598713,0.0816912661189734
GBM_grid_1_AutoML_1_20240927_44205_model_1,0.9159663865546218,0.0851519041506204,0.2118776360412678,0.2482537504999397,0.0616299246372863
XGBoost_2_AutoML_1_20240927_44205,0.9243697478991596,0.0757381258023106,0.2754958059258911,0.267586903993692,0.0716027511889293
GBM_5_AutoML_1_20240927_44205,0.9243697478991596,0.076379974326059,0.2026465329239846,0.2352134017240399,0.0553253443505945
XGBoost_3_AutoML_1_20240927_44205,0.9243697478991596,0.0757381258023106,0.2214301445886315,0.2368937654868139,0.0561186561265216
GBM_3_AutoML_1_20240927_44205,0.9327731092436976,0.068249893025246,0.2110377346755683,0.2375572416142067,0.0564334430433505
DRF_1_AutoML_1_20240927_44205,0.9327731092436976,0.068249893025246,0.4146363527296202,0.2200249018663543,0.0484109574412988
GBM_4_AutoML_1_20240927_44205,0.9327731092436976,0.068249893025246,0.2030572328763012,0.2383110701763851,0.0567921661686139
GBM_grid_1_AutoML_1_20240927_44205_model_2,0.9327731092436976,0.068249893025246,0.2151506083545367,0.2421404827009696,0.0586320133626585
XGBoost_grid_1_AutoML_1_20240927_44205_model_4,0.9327731092436976,0.0669661959777492,0.3519762357483063,0.3055293277370066,0.0933481701074272
XGBoost_grid_1_AutoML_1_20240927_44205_model_2,0.9411764705882352,0.0588361146769362,0.2261018784923611,0.2425864960026123,0.0588482080428254
StackedEnsemble_BestOfFamily_1_AutoML_1_20240927_44205,0.9411764705882352,0.0594779632006846,0.134691181808141,0.1915354586587714,0.0366858319236259
XRT_1_AutoML_1_20240927_44205,0.9411764705882352,0.0594779632006846,0.1773982165607507,0.2204689941135515,0.0486065773654412
GBM_2_AutoML_1_20240927_44205,0.9411764705882352,0.0594779632006846,0.2032550319703606,0.234997148783993,0.0552236599366061
DeepLearning_1_AutoML_1_20240927_44205,0.9495798319327732,0.0507060333761232,0.2753530562589305,0.2855605930186275,0.0815448522851502
GLM_1_AutoML_1_20240927_44205,0.9495798319327732,0.0500641848523748,0.0833360080396115,0.1636557278794961,0.0267831972677676
DeepLearning_grid_1_AutoML_1_20240927_44205_model_1,0.957983193277311,0.0419341035515618,0.0837842596977612,0.1634720436450888,0.0267231090535018
DeepLearning_grid_3_AutoML_1_20240927_44205_model_1,0.957983193277311,0.0425759520753102,0.0635108519742665,0.1438058545806215,0.0206801238116628
DeepLearning_grid_2_AutoML_1_20240927_44205_model_1,0.9747899159663864,0.024390243902439,0.0669596733565008,0.1447744185393097,0.0209596322633952
StackedEnsemble_AllModels_1_AutoML_1_20240927_44205,0.9747899159663864,0.0250320924261874,0.1096410005349503,0.173706479572564,0.0301739410454936
